system:index,NDSI_Snow_Cover,google:max_source_file_timestamp,system:asset_size,system:band_names,system:bands,system:id,system:time_end,system:time_start,system:version,.geo
2013_01_20,29.53518281030329,1.477427135E12,1464835393,[NDSI_Snow_Cover],<Element>,MODIS/006/MOD10A1/2013_01_20,1358726400000,1358640000000,1639869754656459,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_01_21,36.54382166549073,1.477420868E12,1483460962,[NDSI_Snow_Cover],<Element>,MODIS/006/MOD10A1/2013_01_21,1358812800000,1358726400000,1639869840389191,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_01_22,,1.477419511E12,1494622683,[NDSI_Snow_Cover],<Element>,MODIS/006/MOD10A1/2013_01_22,1358899200000,1358812800000,1639870998065740,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_01_23,,1.477414876E12,1453831165,[NDSI_Snow_Cover],<Element>,MODIS/006/MOD10A1/2013_01_23,1358985600000,1358899200000,1639870703211800,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_01_24,,1.477414872E12,1497875455,[NDSI_Snow_Cover],<Element>,MODIS/006/MOD10A1/2013_01_24,1359072000000,1358985600000,1639872036011158,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_01_25,48.81307866151491,1.477408788E12,1495211898,[NDSI_Snow_Cover],<Element>,MODIS/006/MOD10A1/2013_01_25,1359158400000,1359072000000,1639872727657318,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_01_26,29.357142857142858,1.477408807E12,1528974930,[NDSI_Snow_Cover],<Element>,MODIS/006/MOD10A1/2013_01_26,1359244800000,1359158400000,1639866948152763,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_01_27,61.46666666666667,1.477408814E12,1513247734,[NDSI_Snow_Cover],<Element>,MODIS/006/MOD10A1/2013_01_27,1359331200000,1359244800000,1639872871345799,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_01_28,,1.477402779E12,1510598925,[NDSI_Snow_Cover],<Element>,MODIS/006/MOD10A1/2013_01_28,1359417600000,1359331200000,1639867561560880,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_01_29,46.88572011632059,1.477402839E12,1502815396,[NDSI_Snow_Cover],<Element>,MODIS/006/MOD10A1/2013_01_29,1359504000000,1359417600000,1639874210271319,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_01_30,55.165732875474426,1.477402827E12,1489015385,[NDSI_Snow_Cover],<Element>,MODIS/006/MOD10A1/2013_01_30,1359590400000,1359504000000,1639865624862429,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_01_31,66.31867326369799,1.477397006E12,1510434451,[NDSI_Snow_Cover],<Element>,MODIS/006/MOD10A1/2013_01_31,1359676800000,1359590400000,1639871446183894,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_02_01,59.20132035560776,1.47739699E12,1506471888,[NDSI_Snow_Cover],<Element>,MODIS/006/MOD10A1/2013_02_01,1359763200000,1359676800000,1639869974997815,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_02_02,39.13837530035012,1.477397013E12,1525971068,[NDSI_Snow_Cover],<Element>,MODIS/006/MOD10A1/2013_02_02,1359849600000,1359763200000,1639869725119606,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_02_03,,1.477391184E12,1518104073,[NDSI_Snow_Cover],<Element>,MODIS/006/MOD10A1/2013_02_03,1359936000000,1359849600000,1639865634081171,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_02_04,,1.477391212E12,1543213256,[NDSI_Snow_Cover],<Element>,MODIS/006/MOD10A1/2013_02_04,1360022400000,1359936000000,1639872691360209,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_02_05,47.41372439627003,1.477391207E12,1529081647,[NDSI_Snow_Cover],<Element>,MODIS/006/MOD10A1/2013_02_05,1360108800000,1360022400000,1639875065513993,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_02_06,,1.477391138E12,1552637273,[NDSI_Snow_Cover],<Element>,MODIS/006/MOD10A1/2013_02_06,1360195200000,1360108800000,1639869949590478,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_02_07,,1.477385702E12,1546895833,[NDSI_Snow_Cover],<Element>,MODIS/006/MOD10A1/2013_02_07,1360281600000,1360195200000,1639872609131001,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_02_08,64.36225249135595,1.48797688E12,1551935977,[NDSI_Snow_Cover],<Element>,MODIS/006/MOD10A1/2013_02_08,1360368000000,1360281600000,1639871524267991,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_02_09,,1.477385714E12,1579253181,[NDSI_Snow_Cover],<Element>,MODIS/006/MOD10A1/2013_02_09,1360454400000,1360368000000,1639870045994163,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_02_10,70.2304410354746,1.477380057E12,1566349373,[NDSI_Snow_Cover],<Element>,MODIS/006/MOD10A1/2013_02_10,1360540800000,1360454400000,1639867564950272,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_02_11,,1.477380033E12,1582627871,[NDSI_Snow_Cover],<Element>,MODIS/006/MOD10A1/2013_02_11,1360627200000,1360540800000,1639865558339848,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_02_12,72.73399909214707,1.477380069E12,1563470313,[NDSI_Snow_Cover],<Element>,MODIS/006/MOD10A1/2013_02_12,1360713600000,1360627200000,1639868304313074,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_02_13,42.46241050119332,1.477374686E12,1586823189,[NDSI_Snow_Cover],<Element>,MODIS/006/MOD10A1/2013_02_13,1360800000000,1360713600000,1639868028241603,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_02_14,65.42392026578074,1.487975761E12,1579361317,[NDSI_Snow_Cover],<Element>,MODIS/006/MOD10A1/2013_02_14,1360886400000,1360800000000,1639869570356055,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
