system:index,LST_Day_1km,google:max_source_file_timestamp,system:asset_size,system:band_names,system:bands,system:id,system:time_end,system:time_start,system:version,.geo
2013_01_20,14040.748903190713,1.508818545949E12,763952542,[LST_Day_1km],<Element>,MODIS/006/MOD11A1/2013_01_20,1358726400000,1358640000000,1638761610338072,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_01_21,14007.628642811493,1.508817995446E12,774569415,[LST_Day_1km],<Element>,MODIS/006/MOD11A1/2013_01_21,1358812800000,1358726400000,1638761610967723,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_01_22,,1.508828929485E12,767960969,[LST_Day_1km],<Element>,MODIS/006/MOD11A1/2013_01_22,1358899200000,1358812800000,1638761611530018,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_01_23,,1.508829181928E12,734789792,[LST_Day_1km],<Element>,MODIS/006/MOD11A1/2013_01_23,1358985600000,1358899200000,1638761612116544,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_01_24,13151.488903610467,1.508842769779E12,744041605,[LST_Day_1km],<Element>,MODIS/006/MOD11A1/2013_01_24,1359072000000,1358985600000,1638761613163398,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_01_25,12938.177310924368,1.508842560335E12,759770740,[LST_Day_1km],<Element>,MODIS/006/MOD11A1/2013_01_25,1359158400000,1359072000000,1638761613668487,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_01_26,13114.04347826087,1.508842120308E12,771907897,[LST_Day_1km],<Element>,MODIS/006/MOD11A1/2013_01_26,1359244800000,1359158400000,1638761614259015,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_01_27,12960.75,1.508834863937E12,768013011,[LST_Day_1km],<Element>,MODIS/006/MOD11A1/2013_01_27,1359331200000,1359244800000,1638761614902001,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_01_28,,1.508846966046E12,754964128,[LST_Day_1km],<Element>,MODIS/006/MOD11A1/2013_01_28,1359417600000,1359331200000,1638761615547179,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_01_29,13421.258998302208,1.508846792018E12,755551872,[LST_Day_1km],<Element>,MODIS/006/MOD11A1/2013_01_29,1359504000000,1359417600000,1638761616568114,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_01_30,13019.281616688397,1.508824619322E12,745872735,[LST_Day_1km],<Element>,MODIS/006/MOD11A1/2013_01_30,1359590400000,1359504000000,1638761617131877,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_01_31,13359.521103599487,1.508824343624E12,766785399,[LST_Day_1km],<Element>,MODIS/006/MOD11A1/2013_01_31,1359676800000,1359590400000,1638761617755115,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_02_01,13702.209236171488,1.508825124797E12,771526642,[LST_Day_1km],<Element>,MODIS/006/MOD11A1/2013_02_01,1359763200000,1359676800000,1638761618722888,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_02_02,14051.43624621127,1.508835976943E12,770671450,[LST_Day_1km],<Element>,MODIS/006/MOD11A1/2013_02_02,1359849600000,1359763200000,1638761619288746,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_02_03,,1.508835701146E12,756287904,[LST_Day_1km],<Element>,MODIS/006/MOD11A1/2013_02_03,1359936000000,1359849600000,1638761620230567,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_02_04,,1.508835581361E12,787965165,[LST_Day_1km],<Element>,MODIS/006/MOD11A1/2013_02_04,1360022400000,1359936000000,1638761621503703,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_02_05,13371.304710992315,1.508833769678E12,792771240,[LST_Day_1km],<Element>,MODIS/006/MOD11A1/2013_02_05,1360108800000,1360022400000,1638761622120653,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_02_06,,1.508842872364E12,784590898,[LST_Day_1km],<Element>,MODIS/006/MOD11A1/2013_02_06,1360195200000,1360108800000,1638761622675917,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_02_07,13557.706749049432,1.508843131984E12,782506926,[LST_Day_1km],<Element>,MODIS/006/MOD11A1/2013_02_07,1360281600000,1360195200000,1638761623234769,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_02_08,13430.290441707744,1.509161123911E12,773532079,[LST_Day_1km],<Element>,MODIS/006/MOD11A1/2013_02_08,1360368000000,1360281600000,1638761623822156,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_02_09,,1.508815701941E12,775176003,[LST_Day_1km],<Element>,MODIS/006/MOD11A1/2013_02_09,1360454400000,1360368000000,1638761624387536,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
